,aapl,adbe,alxn,amd,amgn,amzn,asml,atvi,avgo,bidu,bkng,cern,chtr,cmcsa,cost,csco,ea,ebay,fast,fb,fox,gild,goog,googl,intc,isrg,jd,lrcx,lulu,mar,mrna,mrvl,msft,mu,nflx,nvda,okta,pdd,pep,pton,pypl,qcom,regn,sbux,splk,swks,team,tmus,tsla,vrtx,wba,wday,zm
total_change_tech_roi,0.0,0.0,-0.0010509429506959655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006253941276550545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011625076676680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009095861839294449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_change_both_roi,-0.013706529061126791,0.0011542609354555644,-0.03246667422180172,-0.0002757635326383623,-0.0023952709922790967,-0.3087638410398413,-0.004250812036132756,-0.01843222110290532,-0.13812587874450688,-0.029105882322692844,0.0,-0.07283174674758908,-0.12968423133239748,0.00013050097981426312,-0.1078151365605876,-0.0002510438915251933,-0.0872586918777466,-0.017149184929084682,0.0,0.000515019043547893,0.0,-0.05992475387535101,-0.015595506866455056,0.0,-0.006977795511817764,-0.000873838665771509,-0.0475264334251404,0.0,-0.0342127542138827,0.0,-0.015191847712325847,-0.005424847133445709,0.0,-0.017008441294860788,0.0,0.00018401697455638907,-0.08003106675109861,-0.03496910666912989,-0.02813094023588913,-0.04444705285110473,-0.12282225106430067,-0.017947292299652085,-0.05602913472290039,0.0,-0.035524441855621425,-0.03292230907211302,-0.023355601192673547,-0.00016500256834028892,-0.7008182527160645,0.0,-0.010064937272071806,0.0002363374983820332,-0.23367957479400656
total_perc_change_text_roi,-0.09477536994383373,-0.0005952629443093382,-0.00296582745971663,-0.010426481055736292,-0.0037544376373290773,-0.3399916479736329,-0.2804475436950683,-0.027723637505722157,-0.04780373162078855,-0.22679172678909296,-0.2212367082641602,-0.040418500143814096,-0.0650985024780274,0.00013050097981426312,-0.0006307564924907805,0.0,-0.028743049999999992,-0.01700346687774656,0.0,-0.08130217189235722,-0.0067384940856933815,-0.013613939313506962,-0.1841806294311522,-0.5641980324340821,-0.02338663306732169,-0.07600383744506845,-0.039256109543228224,-0.12517066416931155,-0.036242857796595966,0.0,-0.15496365971284176,-0.016153415883445654,-0.022523734388732897,-0.04167876155891415,-0.007237841058349792,-0.00040418595372182514,-0.10493737049560548,-0.12195989492797865,-0.00042759756317145564,-0.0936094861000062,-0.029942295237731956,-0.09774439657211308,-0.10599175121154793,0.0,-0.0011965286949157106,-0.014308643314361547,-0.0224812530252404,-0.0005475719271778036,-0.18850380678405776,0.0,-0.015173328051376169,-0.045539752894695806,-0.23227177176055916
total_perc_change_tech_roi,0.0,0.0,-0.0010509429506959655,0.0,0.0,0.0,0.0,0.0,0.0,-0.00794440860502299,0.0,0.0,-0.0042982515014649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011750201530447146,0.0,0.0,0.0,0.0,0.0,-0.06197814724121097,-0.00011625076676680113,0.0,0.0,-0.003954306713867206,0.0,0.0,-0.0020561998779295987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010089577064513744,0.0,0.0,-0.005806842550659219,0.0,0.0,0.0,0.0
total_perc_change_both_roi,-0.13886159157988145,0.0007857926934915492,-0.03246667422180172,-0.0002757635326383623,-0.0014907846748352105,-0.3087638410398413,-0.0016229077941893875,-0.027723637505722157,-0.09301387923278814,-0.17595222474899286,-0.8198974988708497,-0.06483079958419803,-0.12968423133239748,0.00013050097981426312,-0.0001411787943144116,0.0,-0.05866286250000007,-0.017149184929084682,0.0,0.0004023313691938757,-0.012052527114486676,-0.05311355216140756,-0.020491816705322297,0.0,-0.0179378407936096,-0.0016024586090087614,-0.08558368328056333,-0.1271391122970581,-0.034777978846062374,-0.0007024541336059231,-0.16526304181143214,-0.005424847133445709,-0.02223279017715452,-0.02611558206443776,-0.0443180715542838,0.00018401697455638907,-0.05376723049011234,-0.03540826557785892,0.0,-0.03492537577819832,-0.0280426284111025,-0.1142761578056335,-0.005374484423828152,0.0,-0.035803096472931006,0.00206142835693357,-0.0006341813351827819,-0.00016500256834028892,-0.35724631966552745,0.0,-0.015171585940170318,0.0002363374983820332,-0.1956556229492188
bh_roi,0.0,0.004230533999999953,0.0,0.0,-0.0006447200000000429,0.014779806000000171,0.0,0.0,-0.018127031999999987,0.0,-0.060095983999999936,0.0,0.02998982999999988,0.0,0.005495335999999851,0.0,0.002068500000000029,0.0,-0.06817720000000005,0.0,0.0,-0.036487500000000006,0.013993539999999973,0.0115886300000001,0.0,-0.026113319999999884,0.0,-0.13136658199999984,0.0,-0.04346206800000019,0.2748487419999999,0.0,0.0,-0.08945757600000015,0.0,-0.006609986000000179,0.0,0.0,-0.014768879999999762,0.0,-0.04623079999999991,0.0,-0.05685040799999985,-0.043203412000000004,-0.03344760000000002,0.0,0.0,0.0,-0.02753022799999993,0.0,0.054235082000000163,0.0,-0.05329554999999997
sma_roi,0.058363832580566426,0.023346744873046887,0.02763270881652824,0.05991141739959716,0.04738181625366211,0.033317856152343735,0.05306550181884751,0.0459569823730468,0.02595110388793942,0.09974120020751953,0.04769858037109365,0.02567453344268777,0.061925063415527275,0.020881671874237062,0.013741589355468651,0.027994200708007618,0.018037626086425677,0.05436454029006943,0.03122831775436397,0.06647262399291988,0.12572582526588438,0.021762448803710917,0.031971964599609486,0.034015623657226664,-0.0007371274681090557,0.004359154223632754,0.10335570940399186,0.12127753557128915,0.06119057646484372,0.07208327632751453,0.23509528929748516,0.0371455198265076,-0.001964340051269442,0.07252680794219968,0.05662238850097667,0.036848047631836016,0.017548606640624964,0.04180620816650382,0.022998634265136708,0.06359680000000001,0.05353763854980453,0.05542240393066411,0.034073129077148316,0.06807708530273437,0.03811793777465833,0.011464754754638706,0.04584309493103023,0.03551225715637196,0.09808176533203117,0.0495832110504153,0.08385473130798338,0.02869071531372036,0.034286591015624916
dou_roi,0.06034007263183594,0.020223010253906267,0.028098042297363342,0.0495000000000001,-0.0022432617187500004,0.020491479492187548,0.032868017578125075,0.0,-0.020769094848632763,0.0,-0.0199359375,-0.0031250000000000444,-0.1077835144042969,-0.0391470207214355,0.013931927490234308,-0.0045702480316162095,0.0072104873657226065,-0.0007919677734374853,0.014489971160888569,0.0549695434570312,0.026000037193298242,0.014624977111816316,-0.0025950317382812393,-0.005034973144531274,-0.014959973144531237,-0.04299602050781248,0.03488202285766606,0.0,0.0,-0.03353393325805665,0.0,0.016156341171264632,0.0,0.0,0.0,0.027378918457031217,0.012330981445312528,0.016588003540038976,-0.033107725524902376,0.028412951660156338,0.0,0.03123206329345707,0.024813937377929696,-0.030494991302490226,-0.0006269165039062273,-0.12620512084960933,0.0151144973754882,-0.013508992767333972,0.035459985351562466,0.012096020507812444,0.0,-0.001117590332031293,0.024309936523437603
n_of_art,10523.0,339.0,242.0,2428.0,304.0,6129.0,126.0,510.0,230.0,1144.0,177.0,535.0,156.0,811.0,443.0,360.0,452.0,231.0,344.0,3840.0,32654.0,592.0,3140.0,1569.0,1501.0,165.0,487.0,132.0,307.0,261.0,2827.0,176.0,2668.0,440.0,4098.0,1555.0,288.0,297.0,254.0,938.0,1022.0,545.0,516.0,572.0,257.0,179.0,131.0,206.0,15338.0,202.0,357.0,136.0,1520.0
sector,Information Technology,Information Technology,Health Care,Information Technology,Health Care,Consumer Discretionary,Information Technology,Communication Services,Information Technology,Communication Services,Consumer Discretionary,Health Care,Communication Services,Communication Services,Consumer Staples,Information Technology,Communication Services,Consumer Discretionary,Industrials,Communication Services,Communication Services,Health Care,Communication Services,Communication Services,Information Technology,Health Care,Consumer Discretionary,Information Technology,Consumer Discretionary,Consumer Discretionary,Health Care,Information Technology,Information Technology,Information Technology,Communication Services,Information Technology,Information Technology,Consumer Discretionary,Consumer Staples,Consumer Discretionary,Information Technology,Information Technology,Health Care,Consumer Discretionary,Information Technology,Information Technology,Information Technology,Communication Services,Consumer Discretionary,Health Care,Consumer Staples,Information Technology,Information Technology
